time;cpu;memory
0.0;2.1;11.9
1.0;2.2;11.9
2.0;2.7;11.9
3.0;3.0;12.0
4.0;2.9;12.0
5.0;4.0;12.0
6.0;2.6;12.0
7.0;3.4;12.1
8.0;3.1;12.1
9.0;5.0;12.1
10.0;2.7;12.1
11.0;3.5;12.1
12.0;2.7;12.2
13.0;2.2;12.2
14.0;2.3;12.2
15.0;2.2;12.2
16.0;2.8;12.2
17.0;2.4;12.2
18.0;2.1;12.2
19.0;2.6;12.2
20.0;2.5;12.2
21.0;2.0;12.2
22.0;1.9;12.2
23.0;2.4;12.1
24.0;2.1;12.1
25.0;2.4;12.1
26.0;2.1;12.1
27.0;2.7;12.1
28.0;2.3;12.1
29.0;2.1;12.1
30.0;2.1;12.1
31.0;2.6;12.1
32.0;2.3;12.1
33.0;2.3;12.1
34.0;2.0;12.1
35.0;2.5;12.1
36.0;2.0;12.1
37.0;2.1;12.1
38.0;2.2;12.1
39.0;2.6;12.1
40.0;2.1;12.1
41.0;2.3;12.1
42.0;1.9;12.1
43.0;2.0;12.1
44.0;2.3;12.1
45.0;2.2;12.1
46.0;2.3;12.1
47.0;2.6;12.1
48.0;2.3;12.1
49.0;2.1;12.1
50.0;2.3;12.1
51.0;2.6;12.1
52.0;1.9;12.1
53.0;2.4;12.1
54.0;2.2;12.1
55.0;2.6;12.1
56.0;2.1;12.1
57.0;2.1;12.1
58.0;2.2;12.1
59.0;2.3;12.1
60.0;2.2;12.1
61.0;2.2;12.1
62.0;2.2;12.1
63.0;2.4;12.1
64.0;2.4;12.1
65.0;2.7;12.1
66.0;2.6;12.1
67.0;2.7;12.1
68.0;2.4;12.1
69.0;2.5;12.1
70.0;2.4;12.1
71.0;2.6;12.1
72.0;2.2;12.1
73.0;2.5;12.1
74.0;2.4;12.1
75.0;2.9;12.1
76.0;2.5;12.2
77.0;2.7;12.2
78.0;2.4;12.2
79.0;2.7;12.2
80.0;2.5;12.2
81.0;2.6;12.2
82.0;2.5;12.2
83.0;2.6;12.2
84.0;2.3;12.2
85.0;2.6;12.2
86.0;2.4;12.2
87.0;2.7;12.2
88.0;2.6;12.2
89.0;2.8;12.2
90.0;2.6;12.2
91.0;2.7;12.2
92.0;2.4;12.2
93.0;2.7;12.2
94.0;2.6;12.2
95.0;2.5;12.2
96.0;2.3;12.2
97.0;2.6;12.2
98.0;2.6;12.2
99.0;2.8;12.2
100.0;2.4;12.2
101.0;2.6;12.2
102.0;2.7;12.2
103.0;2.1;12.2
104.0;2.2;12.2
105.0;2.6;12.2
106.0;2.9;12.2
107.0;2.7;12.2
108.0;2.1;12.2
109.0;2.5;12.2
110.0;2.4;12.2
111.0;2.2;12.2
112.0;2.5;12.2
113.0;2.8;12.2
114.0;3.1;12.2
115.0;5.5;12.4
116.0;2.7;12.3
117.0;2.9;12.3
118.0;2.6;12.3
119.0;2.5;12.3
120.0;2.7;12.3
121.0;2.6;12.3
122.0;2.4;12.3
123.0;2.1;12.3
124.0;2.9;12.3
125.0;2.7;12.3
126.0;2.6;12.3
127.0;1.9;12.3
128.0;2.6;12.3
129.0;2.6;12.3
130.0;2.6;12.3
131.0;2.5;12.3
132.0;2.5;12.3
133.0;2.5;12.3
134.0;2.6;12.3
135.0;2.2;12.3
136.0;2.8;12.3
137.0;2.6;12.3
138.0;2.7;12.3
139.0;2.1;12.3
140.0;2.6;12.3
141.0;2.5;12.3
142.0;2.4;12.3
143.0;2.1;12.3
144.0;2.7;12.3
145.0;2.6;12.3
146.0;3.0;12.3
147.0;2.2;12.3
148.0;2.9;12.3
149.0;2.9;12.3
150.0;2.8;12.3
151.0;2.2;12.3
152.0;3.1;12.3
153.0;2.3;12.3
154.0;2.9;12.3
